concessionaria;praca_de_pedagio;ano_do_pnv_snv;rodovia;uf;km_m;municipal;tipo_de_pista;sentido;situacao;data_da_inativacao;latitude;longitude
VIA SUL;P7-Victor Graeff;2019;BR-386;RS;204.4;Victor Graeff;Principal;Crescente/Decrescente;Ativo;;-28.502039;-52.644709
VIA SUL;P6-Fontoura Xavier;2019;BR-386;RS;262.7;Fontoura Xavier;Principal;Crescente/Decrescente;Ativo;;-28.905316;-52.396797
VIA SUL;P3-Gravatai;2019;BR-290;RS;60.0;Gravataí;Principal;Crescente/Decrescente;Ativo;;-29.925023;-50.859104
VIA SUL;P4-Montenegro;2019;BR-386;RS;426.0;Montenegro;Principal;Crescente/Decrescente;Ativo;;-29.81976;-51.360405
VIA SUL;P5-Paverama;2019;BR-386;RS;375.8;Paverama;Principal;Crescente/Decrescente;Ativo;;-29.626833;-51.775773
WAY 262;Praça 04 - Campos Altos;2023;BR-262;MG;591.8;Campos Altos;Principal;Crescente/Decrescente;Ativo;;-19.647218;-46.240041
WAY 262;Praça 03 - Luz;2023;BR-262;MG;505.4;Luz;Principal;Crescente/Decrescente;Ativo;;-19.788222;-45.584607
WAY 262;Praça 01 - Florestal;2023;BR-262;MG;384.78;Florestal;Principal;Crescente/Decrescente;Ativo;;-19.909936;-44.506876
WAY 262;Praça 05 - Ibiá - Free Flow;2023;BR-262;MG;665.1;Ibiá;Principal;Crescente/Decrescente;Ativo;;-19.55027;-46.850368
WAY 262;Praça 06 - Perdizes;2023;BR-262;MG;721.63;Perdizes;Principal;Crescente/Decrescente;Ativo;;-19.617598;-47.34653
WAY 262;Praça 02 - Nova Serrana - Free Flow;2023;BR-262;MG;452.95;Nova Serrana;Principal;Crescente/Decrescente;Ativo;;-19.812626;-45.103461
